x,Curve1
0.00889,0.027461
0.01907,0.043835
0.0227,0.057492
0.02636,0.077023
0.02841,0.099417
0.0365,0.130035
0.04116,0.177172
0.04489,0.207496
0.04975,0.243546
0.054,0.270052
0.0594,0.305001
0.06591,0.343181
0.07266,0.377617
0.0769,0.402214
0.08194,0.42358
0.08752,0.4448
0.09144,0.460953
0.09889,0.476593
0.10523,0.488782
0.11101,0.497593
0.11459,0.503908
0.11981,0.512499
0.12639,0.518447
0.13461,0.526305
0.1431,0.534382
0.15268,0.54246
0.16335,0.549877
0.17347,0.556413
0.18467,0.562215
0.19642,0.567797
0.2106,0.571764
0.23268,0.574924
0.24767,0.576174
0.26864,0.576545
0.29342,0.575887
0.31193,0.574789
0.33724,0.57237
0.35873,0.568628
0.38539,0.564227
0.40742,0.559238
0.42345,0.553954
0.44221,0.548597
0.46041,0.541477
0.47753,0.535166
0.49708,0.525991
0.5207,0.515422
0.55272,0.496116
0.58174,0.477839
0.60586,0.45934
0.62644,0.440621
0.65028,0.420947
0.67032,0.402742
0.69415,0.382995
0.715,0.364202
0.73722,0.345262
0.76379,0.327645
0.78686,0.31458
0.80207,0.309369
0.81649,0.306801
0.8301,0.304968
0.85165,0.311065
0.86613,0.318189
0.87816,0.325092
0.89102,0.334639
0.89978,0.342937
0.90992,0.352189
0.91788,0.362323
0.92885,0.374072
0.936,0.385453
0.94288,0.396174
0.95249,0.408363
0.95962,0.416073
0.96458,0.425252
0.96979,0.430979
0.97228,0.437588
0.98161,0.448162
0.98599,0.452935
0.99204,0.461526
0.99754,0.470191
1.00522,0.478048
1.01072,0.486565
1.01921,0.495304
1.02853,0.503969
1.03485,0.512634
1.04388,0.520271
1.05291,0.526953
1.06085,0.533269
1.06933,0.539217
1.0819,0.546488
1.09011,0.551482
1.10349,0.557578
1.11522,0.561691
1.12887,0.565951
1.15041,0.570727
1.17168,0.573887
1.19211,0.57624
1.21772,0.577492
1.23923,0.577201
1.26157,0.577425
1.28199,0.577428
1.29778,0.575888
1.31927,0.573248
1.34132,0.570461
1.36471,0.566794
1.38973,0.561658
1.40959,0.557035
1.42562,0.552118
1.44139,0.547789
1.45851,0.542578
1.47318,0.536854
1.49057,0.530175
1.50115,0.523936
1.51174,0.519165
1.5245,0.513073
1.53562,0.505512
1.54947,0.498979
1.56058,0.491125
1.58227,0.47571
1.60693,0.456477
1.63295,0.436216
1.65326,0.418378
1.67847,0.399659
1.69253,0.384903
1.70176,0.379472
1.70825,0.372204
1.71827,0.363762
1.72477,0.357595
1.73533,0.34886
1.74237,0.3424
1.74806,0.337481
1.75674,0.331756
1.76432,0.325736
1.77627,0.319791
1.78523,0.31502
1.79582,0.310469
1.80616,0.308635
1.81786,0.307095
1.82766,0.306509
1.8421,0.308347
1.85383,0.311579
1.86366,0.316133
1.87105,0.320833
1.87952,0.325533
1.89295,0.338677
1.9091,0.351969
1.92309,0.36739
1.93682,0.385233
1.94644,0.399478
1.95275,0.407776
1.961,0.419451
1.97062,0.433256
1.97694,0.443168
1.99009,0.455211
1.99724,0.466299
2.00604,0.479663
2.02113,0.496185
2.03483,0.509109
2.04607,0.520932
2.05866,0.53158
2.06878,0.538483
2.08353,0.545827
2.09529,0.553024
2.11304,0.560296
2.12914,0.565511
2.14196,0.56889
2.15941,0.572123
2.18012,0.574109
2.20192,0.576388
2.22262,0.576832
2.2425,0.577348
2.26102,0.577498
2.28798,0.576254
2.30812,0.574935
2.32608,0.572735
2.33995,0.570388
2.3609,0.567234
2.38267,0.563786
2.40415,0.558356
2.43406,0.551385
2.45498,0.543018
2.45606,0.542137
2.47291,0.536046
2.48704,0.531202
2.51337,0.518064
2.53943,0.505072
2.56385,0.490391
2.58011,0.47872
2.59366,0.467415
2.61616,0.451045
2.63267,0.435923
2.653,0.421388
2.66357,0.412653
2.6752,0.400393
2.68929,0.38828
2.70255,0.375948
2.718,0.363909
2.72802,0.354806
2.74374,0.343575
2.75511,0.332783
2.76569,0.326911
2.77627,0.320305
2.78631,0.314433
2.798,0.31113
2.80915,0.308636
2.82412,0.30739
2.83584,0.308052
2.8492,0.310991
2.86122,0.316573
2.87487,0.322595
2.88527,0.330159
2.89786,0.339853
2.90527,0.349839
2.9154,0.358284
2.9239,0.367316
2.92942,0.37789
2.93902,0.389198
2.94561,0.397643
2.95111,0.405353
2.95661,0.413797
2.96046,0.420479
2.97005,0.429658
2.97529,0.439424
2.98708,0.452274
2.99205,0.463802
3.00466,0.475918
