x,Curve1
0.00332,0.011011
0.00691,0.02239
0.01185,0.031273
0.01569,0.038762
0.01926,0.04669
0.02094,0.055059
0.02397,0.064602
0.02592,0.074732
0.02816,0.086698
0.02985,0.099617
0.03098,0.110041
0.03265,0.117602
0.03436,0.134852
0.03514,0.127072
0.03659,0.14535
0.03801,0.158196
0.03914,0.167959
0.04137,0.179924
0.0425,0.188953
0.04335,0.196807
0.04535,0.216554
0.04584,0.205763
0.04785,0.226978
0.04926,0.23909
0.05041,0.252376
0.0529,0.261112
0.05513,0.271829
0.05736,0.284308
0.05766,0.290548
0.05883,0.309119
0.05905,0.296054
0.05961,0.301339
0.06105,0.317855
0.06273,0.328793
0.06414,0.340097
0.06638,0.35243
0.06861,0.365129
0.07112,0.377829
0.07226,0.38928
0.07476,0.400658
0.07973,0.414606
0.08141,0.42547
0.08226,0.433618
0.08667,0.444704
0.09161,0.455495
0.09384,0.465846
0.09905,0.47561
0.1078,0.484495
0.11436,0.490295
0.12065,0.495068
0.12475,0.500575
0.13022,0.505641
0.13432,0.509827
0.13733,0.513644
0.1428,0.518637
0.14854,0.523337
0.15454,0.526936
0.15946,0.530534
0.16764,0.534353
0.17445,0.536851
0.181,0.54045
0.19027,0.543462
0.20172,0.546328
0.21724,0.549195
0.23276,0.550521
0.24801,0.550892
0.26189,0.550897
0.28039,0.549874
0.30053,0.548339
0.31821,0.547023
0.33399,0.545559
0.34732,0.544022
0.36038,0.541383
0.37561,0.538451
0.3892,0.535299
0.40062,0.532366
0.41095,0.52936
0.42155,0.525766
0.43024,0.523126
0.43949,0.520266
0.44899,0.516305
0.45633,0.513077
0.46638,0.509484
0.47643,0.504422
0.48865,0.498847
0.49816,0.493418
0.51011,0.488209
0.52069,0.48168
0.53292,0.475884
0.54378,0.469868
0.55436,0.463632
0.56142,0.458349
0.56874,0.453287
0.57552,0.447563
0.58067,0.443601
0.58773,0.438758
0.59505,0.433549
0.60401,0.427092
0.61052,0.422543
0.61594,0.416966
0.62354,0.412197
0.62895,0.406399
0.63763,0.400089
0.64196,0.394732
0.65201,0.388422
0.66014,0.380497
0.66991,0.374481
0.68103,0.365969
0.68944,0.359586
0.70084,0.35313
0.70734,0.346745
0.71521,0.341243
0.7239,0.335813
0.73095,0.331411
0.73909,0.325174
0.74614,0.319965
0.75239,0.316003
0.7589,0.311527
0.76405,0.307858
0.77111,0.304117
0.77926,0.300816
0.7847,0.298542
0.79177,0.296709
0.79747,0.294582
0.80454,0.292749
0.81488,0.292091
0.82577,0.293489
0.83722,0.296576
0.84512,0.299147
0.85494,0.303187
0.86312,0.305905
0.86885,0.309137
0.87594,0.312075
0.88385,0.316335
0.88959,0.321548
0.89451,0.32544
0.89943,0.329625
0.90375,0.33376
0.90895,0.337839
0.91524,0.34326
0.91959,0.348796
0.92414,0.353691
0.93087,0.360567
0.93545,0.3689
0.94152,0.374786
0.94544,0.380555
0.95087,0.387606
0.95478,0.392501
0.95913,0.398329
0.96369,0.404272
0.96652,0.408992
0.97044,0.415169
0.97327,0.420297
0.97805,0.425542
0.98238,0.429563
0.98457,0.434283
0.98826,0.43842
0.99044,0.443606
0.99478,0.448152
0.99849,0.454853
1.00326,0.459864
1.00739,0.465167
1.01173,0.470179
1.015,0.475773
1.01869,0.479211
1.02195,0.485097
1.02694,0.489468
1.03107,0.494246
1.03671,0.498734
1.03975,0.50223
1.04452,0.505669
1.05058,0.509749
1.05859,0.51383
1.06509,0.517502
1.07116,0.521233
1.07808,0.524264
1.08739,0.527995
1.09691,0.531261
1.10405,0.53371
1.11379,0.536568
1.12503,0.539426
1.14039,0.542693
1.15012,0.545084
1.1633,0.547185
1.17455,0.549403
1.18773,0.55063
1.2007,0.5511
1.21819,0.551047
1.24152,0.550704
1.25751,0.54966
1.27911,0.5492
1.29487,0.547632
1.30999,0.546355
1.32186,0.545076
1.33676,0.5431
1.35166,0.54124
1.36353,0.539962
1.37367,0.537226
1.3836,0.535423
1.39439,0.53298
1.40346,0.530419
1.41748,0.526578
1.43042,0.522561
1.44035,0.519477
1.44682,0.516565
1.45566,0.513655
1.46407,0.510278
1.47356,0.506261
1.48067,0.503176
1.48994,0.499042
1.49835,0.494908
1.50481,0.491298
1.50912,0.488153
1.51926,0.484136
1.52615,0.479652
1.53347,0.475051
1.54058,0.470859
1.54705,0.466957
1.55458,0.462182
1.56083,0.457698
1.56794,0.452922
1.57483,0.448438
1.57913,0.443662
1.58688,0.439062
1.59507,0.434054
1.60045,0.429278
1.60756,0.42462
1.61423,0.420019
1.62069,0.415127
1.62694,0.410584
1.63254,0.406799
1.63857,0.40249
1.64373,0.397131
1.65062,0.392647
1.65621,0.386939
1.6631,0.38129
1.67042,0.376864
1.67537,0.372147
1.68032,0.36708
1.6872,0.361663
1.69366,0.356364
1.70056,0.352579
1.70658,0.347687
1.71088,0.342852
1.71605,0.338484
1.72251,0.334932
1.72681,0.330914
1.73177,0.327012
1.73823,0.323634
1.74556,0.319675
1.75159,0.316414
1.75849,0.312396
1.76388,0.309776
1.77272,0.306341
1.77725,0.304886
1.78394,0.302732
1.78976,0.301103
1.79753,0.299182
1.80552,0.29802
1.81675,0.297032
1.82907,0.298667
1.8362,0.300009
1.84421,0.302517
1.85329,0.305083
1.86173,0.307999
1.8693,0.310856
1.87602,0.315227
1.88317,0.318841
1.88816,0.323737
1.89336,0.327816
1.89597,0.331255
1.90095,0.334985
1.90399,0.33784
1.90768,0.341162
1.9131,0.344893
1.91723,0.350137
1.92157,0.354333
1.92504,0.357888
1.92852,0.362608
1.93221,0.36628
1.9359,0.370883
1.93872,0.374555
1.94371,0.3791
1.94654,0.38417
1.95024,0.388133
1.95393,0.392678
1.95632,0.39699
1.96045,0.401885
1.9648,0.407363
1.9659,0.412898
1.97047,0.419133
1.97308,0.422979
1.9759,0.426883
1.97938,0.43207
1.98112,0.4351
1.98482,0.439062
1.98786,0.442559
1.99068,0.446172
1.99416,0.450309
1.9985,0.454797
1.99938,0.458584
2.0035,0.462372
2.00416,0.465751
2.00872,0.469773
2.01262,0.47292
2.01458,0.47694
2.0187,0.480437
2.02196,0.483817
2.0237,0.487313
2.02847,0.490869
2.03043,0.493957
2.03455,0.496463
2.03803,0.501475
2.04323,0.50503
2.0467,0.508469
2.05082,0.511092
2.05536,0.513831
2.06143,0.516862
2.06727,0.520127
2.07182,0.522692
2.07853,0.52514
2.08546,0.527648
2.09238,0.530271
2.10125,0.533595
2.11034,0.536394
2.1205,0.538553
2.13023,0.540886
2.14191,0.54287
2.15142,0.544854
2.16245,0.54678
2.17693,0.548532
2.18882,0.549759
2.19811,0.550228
2.20978,0.550755
2.2249,0.551168
2.23916,0.550298
2.25341,0.549312
2.26853,0.549258
2.28365,0.548272
2.29466,0.54676
2.3128,0.545717
2.32706,0.544614
2.33785,0.542986
2.34951,0.541533
2.35901,0.53973
2.36807,0.53781
2.378,0.535599
2.38901,0.533796
2.40023,0.530711
2.41382,0.526579
2.42785,0.523262
2.43604,0.52006
2.44488,0.516451
2.45437,0.512783
2.46472,0.509232
2.4727,0.50504
2.48413,0.500091
2.49189,0.496423
2.50008,0.493104
2.50719,0.489261
2.51495,0.485477
2.5212,0.482391
2.52573,0.479479
2.53219,0.475985
2.53714,0.472375
2.54383,0.469114
2.55028,0.46428
2.55696,0.459971
2.56321,0.45537
2.56924,0.452401
2.57549,0.448266
2.58065,0.444248
2.58776,0.440055
2.59314,0.435279
2.60047,0.430562
2.60542,0.426078
2.61295,0.42037
2.61876,0.416177
2.62329,0.413033
2.62759,0.409189
2.63427,0.405112
2.63943,0.400861
2.64438,0.395444
2.65041,0.391368
2.65772,0.384961
2.66289,0.381001
2.66957,0.376109
2.67344,0.372265
2.67968,0.367606
2.68377,0.363413
2.68807,0.359569
2.69324,0.355667
2.69711,0.352464
2.70271,0.347921
2.70745,0.345359
2.71305,0.341981
2.71735,0.337963
2.72296,0.335459
2.72963,0.330218
2.73394,0.327248
2.73846,0.324627
2.74363,0.321191
2.74837,0.318513
2.75463,0.316068
2.75807,0.314204
2.76346,0.311759
2.77037,0.309897
2.77576,0.307859
2.7805,0.305588
2.78439,0.304483
2.79043,0.303377
2.79712,0.301981
2.80641,0.300935
2.81591,0.299948
2.82347,0.300299
2.83255,0.30205
2.84034,0.304266
2.84531,0.306015
2.85137,0.307648
2.85743,0.309922
2.86349,0.312313
2.8702,0.314412
2.87561,0.31721
2.87908,0.319949
2.88363,0.322864
2.88623,0.325078
2.88992,0.328517
2.89317,0.330965
2.89621,0.333354
2.89924,0.336152
2.90206,0.339007
2.9038,0.341513
2.90836,0.34501
2.91032,0.348273
2.91357,0.351886
2.91618,0.3548
2.92051,0.357947
2.92226,0.362143
2.9266,0.365814
2.92964,0.369893
2.93355,0.37473
2.9379,0.38114
2.94224,0.385569
2.94377,0.389706
2.94854,0.393786
2.95159,0.397748
2.95225,0.400603
2.95572,0.404799
2.95812,0.408878
2.96159,0.412841
2.96572,0.417503
2.96789,0.421174
2.96986,0.425602
2.9729,0.428866
2.97573,0.433003
2.98114,0.435976
2.98397,0.44023
2.98592,0.44291
2.98767,0.446465
2.99049,0.449903
2.99397,0.454157
2.99766,0.458236
3.00178,0.461442
