x,Curve1
0.01937,0.00754
0.02847,0.014532
0.03282,0.02094
0.04106,0.027544
0.04542,0.037933
0.05195,0.048809
0.05286,0.058908
0.05637,0.07221
0.05943,0.079202
0.06251,0.093767
0.06291,0.086193
0.06558,0.10406
0.06892,0.125811
0.06909,0.115469
0.07263,0.136006
0.07504,0.1429
0.0766,0.153387
0.07707,0.161932
0.0823,0.173148
0.08363,0.181304
0.08735,0.191646
0.08738,0.199559
0.09087,0.206988
0.0909,0.213348
0.09504,0.221456
0.09745,0.230729
0.10138,0.240779
0.10662,0.253742
0.11099,0.263986
0.11623,0.276173
0.12101,0.282582
0.12558,0.291127
0.13426,0.299818
0.14142,0.307197
0.14858,0.314529
0.15638,0.321618
0.16507,0.331765
0.17504,0.341135
0.18264,0.349341
0.19154,0.359051
0.19914,0.368276
0.20651,0.3742
0.21604,0.38022
0.22341,0.386435
0.23422,0.390125
0.24352,0.392893
0.2526,0.394398
0.26621,0.394496
0.28024,0.393283
0.29147,0.392312
0.30399,0.390031
0.3137,0.388284
0.32471,0.386148
0.33636,0.38309
0.34714,0.380711
0.36052,0.376196
0.37561,0.371245
0.38748,0.367216
0.39912,0.363089
0.41163,0.357555
0.42175,0.352069
0.43188,0.346195
0.44222,0.340175
0.44889,0.335126
0.45924,0.329155
0.46634,0.324058
0.4728,0.319397
0.48098,0.313183
0.48982,0.308037
0.49648,0.301968
0.50295,0.297599
0.51026,0.291337
0.51888,0.285899
0.52382,0.281044
0.52835,0.2775
0.53308,0.273714
0.54298,0.265898
0.55008,0.259926
0.55784,0.254683
0.56386,0.248663
0.56902,0.243857
0.58086,0.234875
0.5871,0.228127
0.59139,0.222835
0.59979,0.216136
0.60646,0.211524
0.61248,0.204387
0.61591,0.199532
0.62345,0.193075
0.63076,0.18691
0.63549,0.180841
0.64217,0.177686
0.64712,0.172394
0.65357,0.167151
0.66305,0.16084
0.67166,0.154674
0.67661,0.149868
0.68501,0.145159
0.68974,0.140692
0.6975,0.136372
0.70331,0.131128
0.70977,0.126953
0.71709,0.122099
0.72399,0.118312
0.7326,0.111758
0.7395,0.108214
0.74769,0.103991
0.75178,0.100981
0.75716,0.097971
0.76557,0.095107
0.76924,0.092825
0.77506,0.090883
0.78131,0.088359
0.78951,0.086466
0.79879,0.084718
0.80894,0.082971
0.81973,0.082486
0.83637,0.083069
0.84826,0.08506
0.86144,0.087974
0.87183,0.091275
0.8807,0.095063
0.89022,0.099578
0.89758,0.103754
0.90732,0.10827
0.91145,0.113028
0.91816,0.117252
0.92358,0.121913
0.92792,0.126185
0.93097,0.131283
0.93704,0.136236
0.94267,0.140314
0.94463,0.145072
0.94984,0.149976
0.95419,0.155948
0.95767,0.161628
0.96158,0.166629
0.9657,0.171776
0.96918,0.175806
0.97201,0.181243
0.97765,0.187409
0.98307,0.193333
0.98592,0.201635
0.99286,0.209403
0.99722,0.217123
1.0033,0.22426
1.00808,0.232562
1.01179,0.239651
1.01939,0.24907
1.02439,0.256353
1.02981,0.261839
1.03222,0.26985
1.04048,0.280726
1.04612,0.287766
1.05242,0.29534
1.05656,0.303836
1.0648,0.311362
1.07066,0.318208
1.07587,0.324228
1.07957,0.329423
1.08607,0.334376
1.09041,0.339328
1.09864,0.345009
1.10385,0.349718
1.11057,0.356224
1.11859,0.361371
1.1266,0.366566
1.13483,0.371373
1.14111,0.374772
1.14803,0.377928
1.15734,0.382006
1.16534,0.384483
1.17248,0.386862
1.18113,0.389047
1.19388,0.391864
1.20405,0.394486
1.21874,0.396137
1.23451,0.396235
1.25589,0.39575
1.26906,0.394537
1.28331,0.393178
1.29972,0.391577
1.31633,0.387839
1.33683,0.382936
1.35365,0.377159
1.3722,0.370654
1.38794,0.364829
1.40885,0.355654
1.42997,0.344634
1.45217,0.331769
1.47263,0.319049
1.48447,0.310311
1.49954,0.299339
1.51397,0.289775
1.52624,0.279435
1.53959,0.269628
1.54841,0.261035
1.55809,0.252345
1.57165,0.242684
1.57982,0.233945
1.59316,0.220983
1.60586,0.211273
1.61446,0.202971
1.62522,0.193602
1.63426,0.185251
1.64286,0.176416
1.65341,0.169182
1.66589,0.158744
1.67514,0.15054
1.69108,0.140005
1.70465,0.131315
1.71736,0.122625
1.73007,0.114615
1.74471,0.104905
1.75916,0.098497
1.76907,0.09374
1.77619,0.090972
1.78352,0.087914
1.79193,0.086021
1.80251,0.084128
1.81006,0.082672
1.81805,0.082721
1.82907,0.083546
1.84657,0.085004
1.85825,0.086946
1.86819,0.089811
1.87966,0.093404
1.88702,0.096803
1.8933,0.101076
1.90347,0.106271
1.91083,0.110398
1.91431,0.114865
1.91843,0.119914
1.92688,0.124284
1.93426,0.133412
1.94338,0.145064
1.95316,0.157251
1.96901,0.1774
1.979,0.190557
1.99205,0.209881
1.99966,0.220999
2.00358,0.22901
2.00988,0.23673
2.01509,0.244401
2.02119,0.255374
2.02792,0.264356
2.03575,0.275911
2.04227,0.284553
2.049,0.293293
2.05595,0.302615
2.06073,0.309072
2.06789,0.316258
2.07527,0.322958
2.082,0.331455
2.0898,0.338301
2.09436,0.34403
2.10173,0.349807
2.10975,0.355682
