x,Curve1
0.01599,0.032823
0.02363,0.059237
0.02922,0.087643
0.03334,0.107443
0.03769,0.145762
0.04205,0.200328
0.05007,0.235793
0.05442,0.276675
0.06049,0.314062
0.06808,0.353894
0.07221,0.389476
0.07915,0.419409
0.08326,0.434317
0.0863,0.447944
0.09084,0.456621
0.09365,0.463784
0.09603,0.471762
0.09971,0.479798
0.10533,0.486728
0.10685,0.492843
0.11247,0.501403
0.11809,0.509905
0.12263,0.515088
0.13085,0.524405
0.13625,0.530345
0.14468,0.536285
0.14749,0.539837
0.15247,0.544729
0.15787,0.548747
0.16154,0.551658
0.16544,0.556783
0.17278,0.560684
0.17646,0.564062
0.18294,0.566391
0.18726,0.56872
0.19482,0.571923
0.20433,0.574601
0.21211,0.575941
0.22939,0.579143
0.2605,0.581879
0.29117,0.58112
0.31126,0.579838
0.32984,0.577799
0.34906,0.575528
0.36267,0.573372
0.4158,0.562655
0.46266,0.549142
0.54019,0.514722
0.59395,0.477974
0.63821,0.440235
0.65893,0.420784
0.68268,0.401973
0.70254,0.383046
0.72132,0.364293
0.7727,0.32702
0.78566,0.31811
0.7958,0.313101
0.80466,0.310888
0.81308,0.309199
0.82194,0.307801
0.83144,0.308907
0.83944,0.310712
0.84938,0.313914
0.85888,0.319213
0.86883,0.324454
0.87812,0.331326
0.89001,0.34338
0.89952,0.350193
0.90752,0.360093
0.92178,0.373661
0.92849,0.386822
0.95768,0.426421
0.98687,0.459265
1.00049,0.476735
1.01627,0.493797
1.02621,0.50492
1.04221,0.520002
1.06447,0.535841
1.08997,0.550749
1.11958,0.56618
1.15566,0.575205
1.22457,0.582831
1.29629,0.581081
1.36497,0.5731
1.42048,0.560811
1.46605,0.545085
1.50794,0.529069
1.53752,0.51084
1.56818,0.492786
1.5969,0.474324
1.61978,0.455688
1.63835,0.436877
1.66101,0.4176
1.6826,0.398673
1.70268,0.379979
1.72232,0.36076
1.74758,0.342706
1.75449,0.337232
1.7627,0.331699
1.77435,0.32407
1.78537,0.319702
1.79228,0.317139
1.79854,0.314984
1.8048,0.312829
1.81388,0.310441
1.82273,0.308927
1.82856,0.308169
1.83893,0.311547
1.8506,0.314691
1.86076,0.320281
1.8694,0.325114
1.87999,0.33216
1.88648,0.33944
1.89577,0.346777
1.90593,0.360345
1.91869,0.372341
1.92971,0.384163
1.93642,0.393655
1.94485,0.404603
1.95198,0.415201
1.96171,0.429236
1.96907,0.438495
1.97836,0.449559
1.99004,0.462778
2.0002,0.475997
2.00798,0.486712
2.01641,0.495447
2.02549,0.50523
2.03716,0.513499
2.043,0.521245
2.05424,0.530504
2.06829,0.538656
2.07953,0.549662
2.10157,0.559969
2.11691,0.565559
2.13528,0.572838
2.15364,0.576506
2.17006,0.578776
2.19404,0.581221
2.23616,0.583258
2.26705,0.583315
2.29492,0.581741
2.31198,0.580751
2.37743,0.571139
2.42753,0.557685
2.47721,0.542717
2.5124,0.524429
2.54674,0.507423
2.57286,0.48902
2.59726,0.470733
2.62381,0.451747
2.64605,0.433227
2.66893,0.413485
2.68879,0.394674
2.71081,0.375979
2.73305,0.357052
2.78227,0.319605
2.82136,0.308305
2.84448,0.310809
2.86068,0.319194
2.88229,0.32985
2.89375,0.342079
2.90629,0.350989
2.9171,0.362519
2.92704,0.375738
2.93721,0.390821
2.94715,0.408407
2.9571,0.421685
2.97288,0.438165
2.98196,0.450336
2.99364,0.464079
3.00077,0.47526
