x,Curve1
0.0095,0.002821
0.01512,0.005106
0.01923,0.007537
0.02268,0.010114
0.02722,0.012739
0.03025,0.015267
0.03284,0.018718
0.03695,0.02183
0.04062,0.025476
0.04322,0.029364
0.04408,0.032864
0.04603,0.036656
0.04884,0.040399
0.04971,0.045016
0.05122,0.048662
0.05209,0.053037
0.05296,0.058383
0.05555,0.061592
0.05685,0.064848
0.05729,0.069612
0.05794,0.072966
0.05967,0.077389
0.06032,0.08152
0.0614,0.08468
0.06205,0.08886
0.06357,0.093478
0.06379,0.097561
0.06509,0.101352
0.06617,0.104803
0.06725,0.108643
0.06726,0.111511
0.06834,0.114379
0.06878,0.122301
0.06985,0.11817
0.07072,0.125461
0.07138,0.12862
0.07289,0.133481
0.07311,0.137661
0.07527,0.141599
0.07571,0.147674
0.07571,0.151514
0.07592,0.144175
0.07766,0.159048
0.07788,0.155452
0.07831,0.16177
0.07853,0.164589
0.0794,0.168527
0.08005,0.172269
0.08092,0.176012
0.08243,0.179998
0.08352,0.185199
0.08546,0.188699
0.0859,0.192538
0.08742,0.197594
0.08893,0.202017
0.09023,0.205954
0.09153,0.209794
0.09262,0.218203
0.09326,0.214072
0.09478,0.221752
0.09565,0.225786
0.09608,0.229286
0.09954,0.239056
0.09976,0.233709
0.10214,0.242993
0.10365,0.247514
0.10561,0.25636
0.10625,0.251986
0.10777,0.261367
0.11036,0.265158
0.11166,0.270213
0.11469,0.27454
0.11664,0.278623
0.1188,0.281734
0.12312,0.287665
0.12658,0.29097
0.12961,0.294665
0.1322,0.298942
0.1348,0.301519
0.13912,0.305214
0.14496,0.310658
0.14863,0.313915
0.15122,0.317415
0.15771,0.320576
0.16224,0.32359
0.16786,0.326604
0.17153,0.328987
0.17521,0.331515
0.17845,0.33448
0.18277,0.337203
0.18515,0.339536
0.18904,0.34255
0.1912,0.345175
0.19466,0.348044
0.19855,0.35062
0.20092,0.3531
0.2046,0.35553
0.20827,0.357329
0.21237,0.359031
0.21799,0.361074
0.22685,0.362096
0.23441,0.363263
0.24564,0.363946
0.2614,0.363365
0.27176,0.362492
0.27824,0.361715
0.28278,0.360598
0.28774,0.359724
0.29336,0.35885
0.29983,0.358122
0.30696,0.357151
0.31409,0.356423
0.32099,0.35516
0.32834,0.355259
0.33957,0.354775
0.34648,0.352686
0.35295,0.350986
0.35921,0.348654
0.36871,0.345933
0.37605,0.343018
0.38555,0.339666
0.39181,0.33641
0.39721,0.334856
0.40498,0.332038
0.41016,0.330289
0.41556,0.328443
0.42117,0.326014
0.4257,0.323487
0.43348,0.320475
0.43779,0.317948
0.44125,0.31547
0.44707,0.312554
0.45096,0.30959
0.45635,0.306529
0.46283,0.301912
0.46866,0.298219
0.47362,0.294089
0.47815,0.289666
0.48527,0.284467
0.49067,0.280093
0.49628,0.276011
0.5006,0.272415
0.50577,0.268673
0.50879,0.264834
0.51246,0.261918
0.517,0.258322
0.52196,0.255455
0.52455,0.252637
0.52822,0.249915
0.53361,0.246417
0.53685,0.243015
0.54117,0.239516
0.54527,0.236503
0.54872,0.233831
0.55304,0.230429
0.55886,0.226882
0.55994,0.223528
0.5662,0.218571
0.57008,0.214829
0.57332,0.211573
0.57763,0.208269
0.58109,0.204624
0.58583,0.201077
0.59188,0.194856
0.59641,0.189802
0.60245,0.184943
0.60806,0.180423
0.61238,0.177119
0.61777,0.172842
0.62101,0.169246
0.6264,0.165602
0.62921,0.162443
0.63352,0.159624
0.63806,0.156709
0.64302,0.15355
0.64885,0.149517
0.65295,0.145629
0.66201,0.141985
0.66892,0.138536
0.6754,0.135183
0.68252,0.131976
0.68921,0.128818
0.69655,0.125222
0.70216,0.122598
0.70648,0.120509
0.71317,0.118372
0.71771,0.115699
0.72073,0.112492
0.72634,0.109673
0.73109,0.106904
0.73562,0.104426
0.7408,0.102288
0.74577,0.099226
0.75138,0.096894
0.75505,0.094902
0.76088,0.092278
0.76627,0.089946
