t,u_L2,p_L2,solid_force_L2,volume,inlet_scale,tip_dx,tip_dy,cyl_dx,cyl_dy,max_u,umax_x,umax_y,elapsed_s
0.00000000e+00,0.0000000000e+00,0.0000000000e+00,2.2534589945e+05,1.4843057359e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,0.0000,0.395
1.00000000e-02,1.4220553968e+00,9.2458862134e+08,2.2534612948e+05,1.4843059467e+02,1.2336751834e-02,3.9945108572e-05,-2.5604537355e-08,1.0524495385e-05,-3.5225136617e-09,2.4905635315e-02,18.5000,26.5000,28.949
2.00000000e-02,2.3026997553e+01,3.7854998124e+09,2.2534677609e+05,1.4843068642e+02,4.9343963427e-02,1.7184162088e-04,-3.2447422763e-07,2.7638415444e-05,1.6295844426e-08,1.0105917122e-01,18.5000,13.5000,55.212
3.00000000e-02,1.1730866792e+02,8.5744445024e+09,2.2534713538e+05,1.4843073790e+02,1.1101250380e-01,2.4096511225e-04,-1.4409606806e-06,4.0451236601e-05,1.9597546416e-08,2.2020479863e-01,18.5000,13.5000,86.168
4.00000000e-02,3.7120371059e+02,1.5344654337e+10,2.2534755810e+05,1.4843079702e+02,1.9732715717e-01,3.2347757216e-04,-3.5325781403e-06,5.4617237466e-05,2.3365493189e-08,3.7628777003e-01,18.5000,13.5000,115.189
5.00000000e-02,9.0797547714e+02,2.4171122817e+10,2.2534820667e+05,1.4843089605e+02,3.0826662669e-01,4.5619229745e-04,-6.8355956403e-06,7.2421483772e-05,3.6183006578e-08,5.7832612772e-01,18.0000,27.0000,144.800
6.00000000e-02,1.8855986543e+03,3.4969981058e+10,2.2534864909e+05,1.4843096626e+02,4.4380353969e-01,5.4401258143e-04,-1.1973948225e-05,8.7365388255e-05,3.8795544039e-08,8.2964796308e-01,18.0000,27.0000,173.484
7.00000000e-02,3.4958625030e+03,4.7828390090e+10,2.2534917865e+05,1.4843105108e+02,6.0390445448e-01,6.5118639274e-04,-1.9757737910e-05,1.0405860505e-04,4.5361940283e-08,1.1222135897e+00,18.0000,27.0000,201.841
8.00000000e-02,5.9685714959e+03,6.2783767308e+10,2.2534982205e+05,1.4843115988e+02,7.8852986855e-01,7.8457620476e-04,-3.0945556580e-05,1.2272465628e-04,5.4635442399e-08,1.4580338492e+00,17.5000,27.0000,236.721
9.00000000e-02,9.5660816654e+03,7.9740660416e+10,2.2535032772e+05,1.4843125194e+02,9.9763422834e-01,8.8887078659e-04,-4.6493769131e-05,1.3957354099e-04,4.6905742987e-08,1.8355805884e+00,17.5000,27.0000,265.743
1.00000000e-01,1.4584628372e+04,9.8796602340e+10,2.2535091590e+05,1.4843136083e+02,1.2311659405e+00,1.0125548707e-03,-6.7420866148e-05,1.5800508338e-04,3.9414252549e-08,2.2524519932e+00,17.5000,27.0000,294.835
1.10000000e-01,2.1358748003e+04,1.1994872151e+11,2.2535155243e+05,1.4843148435e+02,1.4890673845e+00,1.1488095813e-03,-9.4695017066e-05,1.7738283326e-04,3.1666664652e-08,2.7141794862e+00,18.0000,27.5000,337.455
1.20000000e-01,3.0253065583e+04,1.4311598284e+11,2.2535210141e+05,1.4843159975e+02,1.7712749271e+00,1.2677218967e-03,-1.2921417683e-04,1.9570020147e-04,1.2765285138e-08,3.2226386835e+00,18.0000,27.5000,368.559
1.30000000e-01,4.1666436050e+04,1.6838643488e+11,2.2535271645e+05,1.4843173078e+02,2.0777189378e+00,1.4032174739e-03,-1.7205104751e-04,2.1533026157e-04,-5.7187167922e-09,3.7716318421e+00,18.0000,27.5000,397.620
1.40000000e-01,5.6034697825e+04,1.9572675844e+11,2.2535334360e+05,1.4843187073e+02,2.4083238061e+00,1.5439018717e-03,-2.2448774933e-04,2.3539900261e-04,-2.1858101559e-08,4.3607062979e+00,18.0000,27.5000,428.125
1.50000000e-01,7.3821671375e+04,2.2507658723e+11,2.2535391677e+05,1.4843200792e+02,2.7630079602e+00,1.6752501282e-03,-2.8783033893e-04,2.5496332336e-04,-4.2075179106e-08,4.9890508050e+00,18.0000,27.5000,463.295
1.60000000e-01,9.5525413525e+04,2.5650216453e+11,2.2535453645e+05,1.4843215810e+02,3.1416838871e+00,1.8195901000e-03,-3.6340348667e-04,2.7557018754e-04,-6.3393970429e-08,5.6560569154e+00,18.0000,27.5000,494.567
1.70000000e-01,1.2167847219e+05,2.8995097724e+11,2.2535514906e+05,1.4843231376e+02,3.5442581542e+00,1.9654997835e-03,-4.5262707730e-04,2.9637694010e-04,-8.6237280962e-08,6.3675290400e+00,18.5000,28.0000,528.920
1.80000000e-01,1.5283975286e+05,3.2537961336e+11,2.2535572798e+05,1.4843246966e+02,3.9706314323e+00,2.1071899705e-03,-5.5681109391e-04,3.1702399429e-04,-1.1127751134e-07,7.1318214959e+00,18.0000,28.0000,568.097
1.90000000e-01,1.8960165102e+05,3.6282772920e+11,2.2535633506e+05,1.4843263561e+02,4.4206985202e+00,2.2585148280e-03,-6.7702353446e-04,3.3845688200e-04,-1.3550689451e-07,7.9379839689e+00,18.0000,28.0000,608.012
2.00000000e-01,2.3258791119e+05,4.0223298302e+11,2.2535692546e+05,1.4843280491e+02,4.8943483705e+00,2.4098966747e-03,-8.1429640808e-04,3.5998241282e-04,-1.6106025141e-07,8.7847824981e+00,18.0000,28.0000,645.027
2.10000000e-01,2.8244729681e+05,4.4356226071e+11,2.2535749303e+05,1.4843297579e+02,5.3914641172e+00,2.5600888190e-03,-9.6966885635e-04,3.8154231177e-04,-1.8452939850e-07,9.6717574945e+00,18.0000,28.0000,675.794
2.20000000e-01,3.3986042387e+05,4.8682925829e+11,2.2535807331e+05,1.4843315392e+02,5.9119231046e+00,2.7171482208e-03,-1.1441031866e-03,4.0368030004e-04,-2.0372639979e-07,1.0598584328e+01,18.0000,28.0000,705.379
2.30000000e-01,4.0553586870e+05,5.3196796685e+11,2.2535863219e+05,1.4843333397e+02,6.4555969170e+00,2.8738110632e-03,-1.3384978964e-03,4.2588034725e-04,-2.2212686287e-07,1.1564955301e+01,18.0000,28.0000,734.573
2.40000000e-01,4.8020589361e+05,5.7894891803e+11,2.2535917281e+05,1.4843351581e+02,7.0223514112e+00,3.0308972294e-03,-1.5537781688e-03,4.4821928438e-04,-2.4048385475e-07,1.2570508964e+01,18.0000,28.0000,766.993
2.50000000e-01,5.6463216288e+05,6.2776306894e+11,2.2535971379e+05,1.4843370242e+02,7.6120467489e+00,3.1927281467e-03,-1.7907523086e-03,4.7098556559e-04,-2.5609891149e-07,1.3614995961e+01,18.0000,28.0000,801.572
2.60000000e-01,6.5960090611e+05,6.7834377914e+11,2.2536023094e+05,1.4843388985e+02,8.2245374316e+00,3.3541728113e-03,-2.0500250547e-03,4.9382062217e-04,-2.7214599779e-07,1.4698178449e+01,18.0000,28.0000,836.408
2.70000000e-01,7.6592047806e+05,7.3065993596e+11,2.2536073057e+05,1.4843407861e+02,8.8596723365e+00,3.5167582107e-03,-2.3320449207e-03,5.1684418046e-04,-2.8841203682e-07,1.5819815506e+01,18.0000,28.0000,867.307
2.80000000e-01,8.8442555551e+05,7.8468388747e+11,2.2536122116e+05,1.4843427002e+02,9.5172947534e+00,3.6825374216e-03,-2.6372188112e-03,5.4019153031e-04,-3.0310513001e-07,1.6991559886e+01,18.5000,11.5000,897.999
2.90000000e-01,1.0159720717e+06,8.4034930867e+11,2.2536168644e+05,1.4843446129e+02,1.0197242424e+01,3.8480888814e-03,-2.9658657225e-03,5.6362817410e-04,-3.1552367025e-07,1.8210278973e+01,18.5000,11.5000,928.383
3.00000000e-01,1.1614361509e+06,8.9762003045e+11,2.2536213292e+05,1.4843465308e+02,1.0899347581e+01,4.0149690773e-03,-3.3182704519e-03,5.8727261000e-04,-3.2703299678e-07,1.9468628735e+01,18.5000,11.5000,964.518
3.10000000e-01,1.3217167319e+06,9.5645390823e+11,2.2536256335e+05,1.4843484575e+02,1.1623436991e+01,4.1839417811e-03,-3.6947553825e-03,6.1117551031e-04,-3.3755960029e-07,2.0770730226e+01,18.0000,28.5000,997.677
3.20000000e-01,1.4977307842e+06,1.0167847587e+12,2.2536296734e+05,1.4843503742e+02,1.2369331996e+01,4.3528403379e-03,-4.0956742955e-03,6.3519342522e-04,-3.4797456447e-07,2.2113487669e+01,18.0000,28.5000,1031.646
3.30000000e-01,1.6904131076e+06,1.0785696461e+12,2.2536335037e+05,1.4843522867e+02,1.3136848556e+01,4.5229661887e-03,-4.5212785209e-03,6.5942653903e-04,-3.5842461168e-07,2.3496092669e+01,18.0000,28.5000,1071.405
3.40000000e-01,1.9007175565e+06,1.1417555222e+12,2.2536371236e+05,1.4843541938e+02,1.3925797300e+01,4.6944112336e-03,-4.9717456420e-03,6.8388391677e-04,-3.7033305277e-07,2.4918529094e+01,18.0000,28.5000,1107.249
3.50000000e-01,2.1296128280e+06,1.2062757162e+12,2.2536404710e+05,1.4843560832e+02,1.4735983565e+01,4.8658711014e-03,-5.4472156219e-03,7.0848525929e-04,-3.8272055320e-07,2.6380813705e+01,18.0000,28.5000,1138.687
3.60000000e-01,2.3780826781e+06,1.2720800912e+12,2.2536435876e+05,1.4843579592e+02,1.5567207450e+01,5.0383170688e-03,-5.9477856279e-03,7.3330895200e-04,-3.9434769988e-07,2.7883017234e+01,18.0000,28.5000,1172.384
3.70000000e-01,2.6471260354e+06,1.3391075897e+12,2.2536464617e+05,1.4843598187e+02,1.6419263863e+01,5.2115356322e-03,-6.4734996501e-03,7.5834768690e-04,-4.0474920969e-07,2.9425277120e+01,18.0000,28.5000,1208.494
3.80000000e-01,2.9377534639e+06,1.4072904001e+12,2.2536490589e+05,1.4843616541e+02,1.7291942573e+01,5.3847815639e-03,-7.0244473997e-03,7.8356303658e-04,-4.1420947186e-07,3.1007778074e+01,18.0000,28.5000,1238.449
3.90000000e-01,3.2509874631e+06,1.4765715869e+12,2.2536514098e+05,1.4843634682e+02,1.8185028257e+01,5.5587189289e-03,-7.6007487878e-03,8.0901435864e-04,-4.2146761621e-07,3.2630768798e+01,18.0000,28.5000,1274.040
4.00000000e-01,3.5878617810e+06,1.5468842980e+12,2.2536535008e+05,1.4843652574e+02,1.9098300563e+01,5.7330305303e-03,-8.2024770539e-03,8.3469179510e-04,-4.2685669126e-07,3.4294566040e+01,18.0000,28.5000,1305.335
4.10000000e-01,3.9494185288e+06,1.6181590833e+12,2.2536553160e+05,1.4843670170e+02,2.0031534151e+01,5.9073126630e-03,-8.8296072058e-03,8.6058386320e-04,-4.3067751310e-07,3.5999541536e+01,18.0000,28.5000,1346.281
4.20000000e-01,4.3367083489e+06,1.6903330249e+12,2.2536568778e+05,1.4843687484e+02,2.0984498762e+01,6.0819808762e-03,-9.4820280186e-03,8.8673586138e-04,-4.3228205243e-07,3.7746133555e+01,18.0000,28.5000,1379.368
4.30000000e-01,4.7507892100e+06,1.7633350387e+12,2.2536581759e+05,1.4843704480e+02,2.1956959266e+01,6.2567133699e-03,-1.0159488481e-02,9.1314222692e-04,-4.3005295144e-07,3.9534846418e+01,18.0000,28.5000,1410.924
4.40000000e-01,5.1927240739e+06,1.8370936719e+12,2.2536592067e+05,1.4843721127e+02,2.2948675722e+01,6.4312999841e-03,-1.0861582057e-02,9.3980845923e-04,-4.2320257090e-07,4.1366242683e+01,18.0000,28.5000,1451.230
4.50000000e-01,5.6635808220e+06,1.9115408872e+12,2.2536599873e+05,1.4843737423e+02,2.3959403440e+01,6.6059701802e-03,-1.1587785050e-02,9.6677071003e-04,-4.1057982192e-07,4.3240949833e+01,18.0000,28.5000,1487.154
4.60000000e-01,6.1644307521e+06,1.9866023219e+12,2.2536605125e+05,1.4843753330e+02,2.4988893037e+01,6.7804363684e-03,-1.2337488961e-02,9.9403030022e-04,-3.9102828770e-07,4.5159658507e+01,18.0000,28.5000,1519.845
4.70000000e-01,6.6963466722e+06,2.0622042000e+12,2.2536607861e+05,1.4843768817e+02,2.6036890502e+01,6.9545854680e-03,-1.3109944086e-02,1.0216031974e-03,-3.6373792256e-07,4.7123120043e+01,18.0000,28.5000,1565.921
4.80000000e-01,7.2604025455e+06,2.1382740511e+12,2.2536608224e+05,1.4843783866e+02,2.7103137258e+01,7.1285132299e-03,-1.3904225070e-02,1.0495202469e-03,-3.2884608236e-07,4.9132154704e+01,18.0000,28.5000,1595.055
4.90000000e-01,7.8576718470e+06,2.2147346807e+12,2.2536606211e+05,1.4843798431e+02,2.8187370224e+01,7.3019725863e-03,-1.4719220129e-02,1.0777898454e-03,-2.8594032897e-07,5.1187656040e+01,18.0000,28.5000,1630.054
5.00000000e-01,8.4892259521e+06,2.2915096841e+12,2.2536601912e+05,1.4843812469e+02,2.9289321881e+01,7.4748872302e-03,-1.5553600768e-02,1.1064341573e-03,-2.3408445951e-07,5.3290601986e+01,18.0000,28.5000,1662.211
5.10000000e-01,9.1561335073e+06,2.3685226407e+12,2.2536595457e+05,1.4843825944e+02,3.0408720341e+01,7.6472582673e-03,-1.6405785196e-02,1.1354812161e-03,-1.7245300174e-07,5.5442076543e+01,18.0000,28.5000,1693.478
5.20000000e-01,9.8594587413e+06,2.4456937009e+12,2.2536586889e+05,1.4843838796e+02,3.1545289407e+01,7.8188709498e-03,-1.7273978768e-02,1.1649452998e-03,-1.0036053140e-07,5.7643293955e+01,18.0000,28.5000,1730.176
5.30000000e-01,1.0600260031e+07,2.5229436934e+12,2.2536576327e+05,1.4843850970e+02,3.2698748649e+01,7.9896509948e-03,-1.8156223040e-02,1.1948517084e-03,-1.6594386646e-08,5.9895634196e+01,18.0000,28.5000,1769.739
