t,u_L2,p_L2,solid_force_L2,volume,inlet_scale,tip_dx,tip_dy,cyl_dx,cyl_dy,max_u,umax_x,umax_y,elapsed_s
0.00000000e+00,0.0000000000e+00,0.0000000000e+00,2.2510779455e+05,1.4813708356e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,0.0000,1.032
1.00000000e-02,4.0551030311e+02,3.2902011385e+11,2.2511145733e+05,1.4813739178e+02,1.9732715717e-01,6.3955274778e-04,-3.8699355187e-07,1.6713070234e-04,-3.2449038174e-07,3.8878210780e-01,18.5000,26.5000,32.449
2.00000000e-02,6.5471137373e+03,1.3391728432e+12,2.2512152489e+05,1.4813859524e+02,7.8852986855e-01,2.6859548574e-03,-2.6360891207e-06,4.4326539280e-04,-4.9661541688e-07,1.6260759414e+00,18.5000,26.5000,71.311
3.00000000e-02,3.3222920236e+04,3.0144087122e+12,2.2512669182e+05,1.4813924489e+02,1.7712749271e+00,3.6635776690e-03,-2.0631679221e-05,6.4125876858e-04,-6.6770663620e-07,3.6177827098e+00,18.5000,26.5000,112.091
4.00000000e-02,1.0465352989e+05,5.3502000397e+12,2.2513347912e+05,1.4814016998e+02,3.1416838871e+00,4.9880417731e-03,-5.3108754913e-05,8.6910114460e-04,-5.3291552334e-07,6.2360755101e+00,18.5000,26.5000,151.847
5.00000000e-02,2.5455388932e+05,8.3318494583e+12,2.2514339923e+05,1.4814161433e+02,4.8943483705e+00,7.0040433218e-03,-9.7609086370e-05,1.1487705557e-03,-7.9206067247e-07,9.4398872898e+00,18.5000,26.5000,193.976
6.00000000e-02,5.2496411699e+05,1.1890010842e+13,2.2514955540e+05,1.4814265063e+02,7.0223514112e+00,8.2014037225e-03,-1.8231329508e-04,1.3689287611e-03,-1.0125348836e-06,1.3202710911e+01,18.5000,13.0000,230.803
7.00000000e-02,9.6542592343e+05,1.6004515087e+13,2.2515780963e+05,1.4814400082e+02,9.5172947534e+00,9.8621680923e-03,-3.2908745377e-04,1.6265977458e-03,-8.5081420553e-07,1.7817245232e+01,18.0000,13.0000,273.333
8.00000000e-02,1.6330747918e+06,2.0615331718e+13,2.2516706630e+05,1.4814552925e+02,1.2369331996e+01,1.1759507762e-02,-5.3495203003e-04,1.9017667009e-03,-1.0857678738e-06,2.3053560947e+01,18.0000,13.0000,309.583
9.00000000e-02,2.5898678055e+06,2.5627766811e+13,2.2517374899e+05,1.4814672895e+02,1.5567207450e+01,1.3110557063e-02,-8.1748106844e-04,2.1366926118e-03,-1.6068960807e-06,2.8867592776e+01,18.0000,13.0000,348.373
1.00000000e-01,3.9023688228e+06,3.1002259956e+13,2.2518228459e+05,1.4814814988e+02,1.9098300563e+01,1.4886272641e-02,-1.1896215951e-03,2.4034393239e-03,-1.7222152551e-06,3.5232463882e+01,18.0000,13.0000,382.196
1.10000000e-01,5.6411497386e+06,3.6642671608e+13,2.2519057632e+05,1.4814952118e+02,2.2948675722e+01,1.6636563926e-02,-1.6487725592e-03,2.6662444477e-03,-1.8514432337e-06,4.2278385325e+01,19.0000,12.5000,420.640
1.20000000e-01,7.8771230680e+06,4.2448098490e+13,2.2519725031e+05,1.4815063497e+02,2.7103137258e+01,1.8060715096e-02,-2.2081142360e-03,2.9035309438e-03,-2.0725776042e-06,4.9877052494e+01,19.0000,12.5000,452.860
