t,u_L2,p_L2,solid_force_L2,volume,inlet_scale,tip_dx,tip_dy,cyl_dx,cyl_dy,max_u,umax_x,umax_y,elapsed_s
0.00000000e+00,0.0000000000e+00,0.0000000000e+00,2.2510779455e+05,1.4813708356e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,0.0000,0.196
9.98992800e-03,4.0622836598e+02,3.3230439054e+11,2.2511181542e+05,1.4813726231e+02,1.9692999198e-01,6.5037078433e-04,-7.9204022439e-07,2.2539825607e-04,-3.0549045246e-07,3.8826429055e-01,20.5000,27.3333,15.209
1.99798560e-02,6.5817025106e+03,1.3545618270e+12,2.2512616528e+05,1.4813816341e+02,7.8694433947e-01,3.5812746219e-03,-2.4756316803e-05,6.2984478496e-04,-3.6828010283e-06,1.5745513472e+00,18.5476,27.3333,30.184
2.99697840e-02,3.3618800351e+04,3.0666197132e+12,2.2514139532e+05,1.4813952226e+02,1.7677192121e+00,6.8042340836e-03,-2.2612727463e-05,1.0358132228e-03,-1.5060565250e-05,3.6065391526e+00,18.5476,28.3095,43.127
3.99597120e-02,1.0640369758e+05,5.4283285421e+12,2.2514981786e+05,1.4813990631e+02,3.1353917300e+00,8.6128428149e-03,8.0644487918e-05,1.3620485168e-03,-4.9623789207e-06,6.5368561273e+00,18.5476,28.3095,56.742
4.99496400e-02,2.5866104820e+05,8.4326836374e+12,2.2515818464e+05,1.4814130672e+02,4.8845751786e+00,1.0294674707e-02,6.9262566470e-04,1.6977800901e-03,2.1143332468e-05,1.0265161671e+01,18.5476,28.3095,71.502
5.99395680e-02,5.3326920622e+05,1.2069942395e+13,2.2517251310e+05,1.4814360589e+02,7.0083802240e+00,1.3308586293e-02,1.9286972065e-03,2.1104500031e-03,1.1359808719e-05,1.4935254918e+01,18.5476,11.7143,86.679
6.99294960e-02,9.8177800964e+05,1.6299332026e+13,2.2518800142e+05,1.4814730480e+02,9.4984420482e+00,1.6474640568e-02,2.2283772813e-03,2.5555482921e-03,-2.7152727786e-05,2.1619102093e+01,19.5238,11.7143,100.630
7.99194240e-02,1.6617294349e+06,2.1017706795e+13,2.2519855433e+05,1.4815204693e+02,1.2344953294e+01,1.8551502597e-02,2.0000747641e-03,2.8938928277e-03,4.2206221166e-05,3.0511274348e+01,19.5238,11.7143,116.680
8.99093520e-02,2.6346075370e+06,2.6240091356e+13,2.2521047272e+05,1.4816039664e+02,1.5536702693e+01,2.0817552094e-02,4.0923198366e-03,3.2134501614e-03,1.1673825496e-04,4.1085145697e+01,19.5238,11.7143,132.623
9.98992800e-02,3.9705601928e+06,3.1865692440e+13,2.2523018783e+05,1.4816607152e+02,1.9061119221e+01,2.4338405359e-02,8.4209696083e-03,3.7157542599e-03,-5.8475969546e-05,5.3012259429e+01,19.5238,11.7143,146.165
1.09889208e-01,5.7428828225e+06,3.7897869506e+13,2.2524477720e+05,1.4817594220e+02,2.2904321612e+01,2.7036719245e-02,1.1153102027e-02,4.1294564736e-03,7.2850687380e-05,6.5052189859e+01,19.5238,11.7143,159.628
1.19879136e-01,8.0193347769e+06,4.4266075065e+13,2.2525568439e+05,1.4819274813e+02,2.7051173029e+01,2.8718532316e-02,1.3440076429e-02,4.3653975791e-03,5.7281199241e-05,7.7225986292e+01,19.5238,11.7143,174.370
1.29869064e-01,1.0871802455e+07,5.0591049150e+13,2.2528100680e+05,1.4819998609e+02,3.1485340684e+01,3.2460785520e-02,1.3668056171e-02,4.8401097050e-03,1.2763461968e-04,8.8460679594e+01,19.5238,11.7143,191.535
1.39858992e-01,1.4390297338e+07,5.7579504153e+13,2.2530532110e+05,1.4821580209e+02,3.6189360166e+01,3.7356897768e-02,2.4477704322e-02,5.4793291731e-03,1.6335377628e-04,1.0265370385e+02,19.5238,11.7143,205.405
1.49848920e-01,1.8626034753e+07,6.4134115028e+13,2.2530377025e+05,1.4822861095e+02,4.1144704224e+01,3.6349411167e-02,4.5409113516e-02,5.4326447933e-03,-3.3684203018e-05,1.1392871247e+02,19.5238,11.7143,222.205
1.59838848e-01,2.3642975557e+07,7.1316437654e+13,2.2533287946e+05,1.4824688205e+02,4.6331855740e+01,3.7386719648e-02,2.8354592583e-02,5.9824624270e-03,-2.2222198401e-04,1.3117471215e+02,19.5238,11.7143,235.806
1.69828776e-01,2.9528595284e+07,7.8804164485e+13,2.2537077250e+05,1.4826305990e+02,5.1730384600e+01,4.6680580827e-02,2.4384367888e-02,6.5295180928e-03,1.0983663874e-03,1.4691112002e+02,19.5238,11.7143,252.233
1.79818704e-01,3.6317498541e+07,8.6852505510e+13,2.2537118574e+05,1.4830159763e+02,5.7319028160e+01,4.4783958418e-02,9.4129043776e-02,6.6030309187e-03,5.9469727944e-04,1.7067266773e+02,19.5238,11.7143,266.288
1.89808632e-01,4.4093006640e+07,9.4815234589e+13,2.2539963059e+05,1.4827485433e+02,6.3075774989e+01,3.9993410154e-02,7.8538269100e-02,7.6365499503e-03,-2.3425562980e-03,1.9611003629e+02,20.5000,11.7143,283.126
1.99798560e-01,5.2849148218e+07,1.0676047298e+14,2.2541687193e+05,1.4835746887e+02,6.8977951564e+01,4.6029307091e-02,-3.2369286155e-03,7.0996853946e-03,2.8346400930e-03,2.2814065045e+02,20.5000,11.7143,299.097
2.09788488e-01,6.2541196905e+07,1.2179810732e+14,2.2540920894e+05,1.4842719374e+02,7.5002311574e+01,3.7969961230e-02,9.3216073817e-02,5.9138104134e-03,2.1923964926e-03,2.7654545150e+02,20.5000,11.7143,314.806
2.19778416e-01,7.3371185326e+07,1.2374099173e+14,2.2559383576e+05,1.4836026447e+02,8.1125127476e+01,6.7049019622e-02,1.0451844456e-01,1.0895462648e-02,-3.1166709116e-03,3.4305722694e+02,20.5000,11.7143,331.114
2.29768344e-01,8.5818230334e+07,1.8490176908e+14,2.2544550403e+05,1.4850489401e+02,8.7322283948e+01,4.0384728443e-02,7.4135325020e-02,9.5083611005e-03,4.8158112918e-04,4.4456920011e+02,20.5000,11.7143,346.080
2.39758272e-01,9.8417129802e+07,2.1425385507e+14,2.2530034860e+05,1.4864032416e+02,9.3569372871e+01,8.9040154813e-03,9.8730234453e-02,1.1499350815e-03,7.2145392279e-03,5.2240309076e+02,21.4762,11.7143,365.214
2.49748200e-01,1.1365566532e+08,3.0235743859e+14,2.2577379554e+05,1.4865823226e+02,9.9841789460e+01,9.4007177114e-02,1.2353505735e-01,1.2279721567e-02,-4.6827966080e-03,8.1726745230e+02,21.4762,11.7143,390.051
2.59738128e-01,1.3295657584e+08,6.1946150665e+14,2.2542354929e+05,1.4850998886e+02,1.0611482918e+02,7.4712541182e-03,3.9450761443e-01,8.5996047251e-03,7.2608410572e-03,1.2058994782e+03,21.4762,11.7143,403.294
2.69728056e-01,1.5806315962e+08,1.6531481136e+15,2.2500224458e+05,1.4816079922e+02,1.1236378503e+02,-1.0706395732e-01,2.9018823182e-01,6.8273050500e-03,-1.2355756455e-02,1.7280768426e+03,22.4524,11.7143,416.366
2.79717984e-01,2.1118113433e+08,5.5457300102e+15,2.2518054351e+05,1.4760668279e+02,1.1856404488e+02,4.0223152806e-02,-4.6398095117e-02,1.5117903000e-02,-2.4236072202e-03,3.5470829839e+03,27.3333,13.6667,431.376
2.89707912e-01,2.3956816055e+09,6.6819682856e+16,2.2487677258e+05,1.3464900671e+02,1.2469118839e+02,9.2813724397e-03,-1.1805968262e-02,7.2344289574e-03,-1.6464532180e-01,1.8704258079e+04,25.3810,24.4048,446.549
