x,Curve1
0.01536,0.007759
0.02507,0.013339
0.02983,0.017858
0.03588,0.022522
0.04065,0.028547
0.04346,0.034184
0.0452,0.039577
0.04975,0.048031
0.05105,0.055368
0.05495,0.063919
0.05648,0.074948
0.05715,0.083354
0.06061,0.090545
0.06365,0.101331
0.06431,0.107744
0.06735,0.117413
0.07017,0.125965
0.07127,0.13573
0.07452,0.144039
0.07756,0.156428
0.07887,0.164834
0.07953,0.170956
0.083,0.181645
0.08301,0.188933
0.08627,0.199088
0.08844,0.208076
0.093,0.220806
0.09625,0.22892
0.09713,0.239269
0.1019,0.247237
0.10558,0.257246
0.10624,0.263708
0.11014,0.270608
0.11447,0.278236
0.11815,0.281297
0.12183,0.288294
0.12551,0.29291
0.13027,0.299469
0.13351,0.303308
0.13827,0.306758
0.14324,0.311228
0.14671,0.315261
0.15147,0.320557
0.15536,0.324202
0.15731,0.327943
0.16228,0.331101
0.16531,0.334697
0.16834,0.338632
0.17266,0.342082
0.17677,0.346261
0.1811,0.350343
0.18607,0.35559
0.18933,0.365016
0.19279,0.370701
0.19799,0.379981
0.20383,0.385861
0.2114,0.392712
0.2222,0.397085
0.22782,0.400098
0.23668,0.402868
0.24338,0.404763
0.25029,0.406222
0.26238,0.408797
0.27879,0.408021
0.28786,0.40637
0.30276,0.404282
0.32629,0.399231
0.37593,0.386845
0.40808,0.371688
0.43656,0.356629
0.45953,0.340937
0.48371,0.325084
0.50491,0.308986
0.52202,0.293439
0.53995,0.276974
0.55924,0.261243
0.57744,0.245512
0.59374,0.229475
0.61004,0.212459
0.62525,0.197156
0.64454,0.180079
0.66519,0.164593
0.6785,0.14831
0.69575,0.134707
0.71215,0.125768
0.72768,0.115664
0.74494,0.106142
0.75874,0.096037
0.77428,0.090791
0.78723,0.087488
0.80364,0.084963
0.8235,0.08166
0.85201,0.087298
0.87793,0.092353
0.89264,0.104987
0.91079,0.114948
0.91923,0.122577
0.92982,0.131955
0.93847,0.140312
0.94605,0.149058
0.95232,0.156055
0.95838,0.162857
0.96465,0.170826
0.96855,0.178891
0.97612,0.188512
0.98262,0.197015
0.98825,0.208482
0.99712,0.219366
1.00513,0.231804
1.0099,0.240939
1.01574,0.248907
1.0205,0.257605
1.02591,0.264115
1.03176,0.272667
1.03652,0.279664
1.04193,0.287001
1.04821,0.296184
1.05578,0.303764
1.06465,0.313142
1.07071,0.321936
1.07849,0.328641
1.08217,0.334569
1.0852,0.340448
1.09278,0.34934
1.09905,0.356628
1.12305,0.372275
1.1492,0.387921
1.16605,0.395599
1.18831,0.401771
1.21012,0.406291
1.23043,0.409305
1.24857,0.410618
1.26994,0.41028
1.28203,0.409017
1.31139,0.404064
1.35693,0.3909
1.39362,0.376279
1.42296,0.361316
1.45079,0.345819
1.47236,0.330176
1.49458,0.314339
1.51247,0.298598
1.53318,0.282372
1.54891,0.266534
1.56552,0.251085
1.575,0.242923
1.58665,0.233936
1.6026,0.218924
1.61101,0.210325
1.62028,0.202017
1.63602,0.186665
1.65155,0.175249
1.65737,0.169856
1.6647,0.161354
1.67073,0.154212
1.68993,0.142845
1.6964,0.137889
1.72121,0.122829
1.74688,0.107089
1.7717,0.095188
1.78529,0.088678
1.79457,0.085181
1.80169,0.0828
1.80666,0.081683
1.81205,0.079935
1.82025,0.078672
1.8276,0.07877
1.8358,0.079645
1.84358,0.08018
1.85157,0.081589
1.8587,0.08295
1.86928,0.086449
1.87922,0.089365
1.88722,0.093204
1.89349,0.096314
1.89781,0.098987
1.90235,0.101708
1.90926,0.104283
1.91359,0.107247
1.91791,0.110211
1.9203,0.118714
1.9218,0.112884
1.92463,0.125711
1.9322,0.131445
1.9376,0.137858
1.9415,0.144223
1.94713,0.150054
1.95361,0.156808
1.95946,0.164485
1.96119,0.169732
1.9653,0.174786
1.97028,0.180228
1.97418,0.187856
1.98045,0.195727
1.98457,0.202773
1.98846,0.206903
1.99128,0.213073
1.99604,0.219147
1.99929,0.225269
2.00427,0.232071
2.00622,0.23557
2.0099,0.242372
2.01509,0.247717
2.02029,0.256317
2.02483,0.262682
2.02678,0.267978
2.03197,0.273809
2.03803,0.280514
2.04128,0.285664
2.04669,0.292127
2.05037,0.29854
2.05664,0.306606
2.06378,0.312728
2.07005,0.319191
2.07503,0.327256
2.08325,0.334642
2.08909,0.339453
2.09342,0.347129
2.09904,0.350871
2.10423,0.356993
2.10899,0.361561
2.1157,0.367731
2.12261,0.372493
2.12953,0.376624
2.13947,0.382795
2.1466,0.386634
2.15244,0.389598
2.16152,0.393291
2.17038,0.397859
2.1801,0.400629
2.19025,0.403302
2.19911,0.405537
2.21272,0.408405
2.2246,0.410106
2.23906,0.410593
2.25656,0.410789
2.27037,0.40943
2.28419,0.408362
2.29261,0.406905
2.30405,0.404622
2.31463,0.402922
2.32521,0.400785
2.33665,0.397725
2.34506,0.395394
2.35478,0.392673
2.36319,0.390293
2.36751,0.387621
2.37204,0.385387
2.37635,0.383249
2.38261,0.381355
2.38671,0.379703
2.39254,0.37742
2.39988,0.374506
2.40722,0.371834
2.41218,0.367899
2.41735,0.366053
2.42318,0.362312
2.44238,0.350313
2.45252,0.343755
2.46654,0.335059
2.49048,0.319221
2.51032,0.303627
2.52779,0.287206
2.5446,0.271611
2.56379,0.255482
2.58212,0.239741
2.59808,0.223223
2.61662,0.206948
2.63257,0.190236
2.64809,0.175078
2.66945,0.158852
2.68756,0.143549
2.71323,0.127226
2.73566,0.112506
2.75055,0.103616
2.76069,0.098758
2.77169,0.094969
2.78227,0.091131
2.78853,0.088751
2.79457,0.086517
2.80169,0.084331
2.80968,0.08302
2.82695,0.082632
2.84553,0.085014
2.85763,0.087784
2.86951,0.090895
2.89306,0.09901
2.903,0.107368
2.91273,0.113345
2.92203,0.121459
2.9296,0.129574
2.9389,0.139972
2.94734,0.148426
2.95578,0.15897
2.96141,0.167619
2.96444,0.173449
2.96812,0.179037
2.97396,0.185208
2.97699,0.191573
2.98262,0.200124
2.98695,0.207315
2.99106,0.21198
2.99539,0.217956
3.00123,0.222815
