step,t,Q_gap,Q_leak_up,Q_leak_dn,max_u
100,2.00000000e-02,3.0655786679094775e-05,9.7865106876385277e-04,9.6827918472295487e-04,5.5737881742510979e-02
200,4.00000000e-02,4.0408610618833908e-05,1.2472709614654662e-03,1.1815942097883534e-03,9.6100921739429537e-02
300,6.00000000e-02,1.6864083441975073e-05,-1.2694411152360977e-04,-2.2794423353492208e-04,7.8204904394840583e-02
400,8.00000000e-02,1.9326126147005227e-05,5.1866450280949115e-04,3.5360066408030434e-04,1.7216855111703416e-01
500,1.00000000e-01,2.4029613838845656e-05,1.3151792140555442e-03,1.1843590359909100e-03,4.3291645378632032e-01
600,1.20000000e-01,1.6936685140548423e-05,1.1410349259478017e-03,1.0114095378875342e-03,4.5482234332125443e-01
700,1.40000000e-01,1.7210817989651457e-05,5.3853319226159521e-04,4.6119807168482291e-04,1.6859357700926764e-01
800,1.60000000e-01,1.7511053270437251e-05,7.3566113307560878e-04,6.6471748605133145e-04,3.0068014935147458e-01
900,1.80000000e-01,1.5660275652115191e-05,4.8978942398108919e-04,3.8394370380685154e-04,1.9244511771641587e-01
1000,2.00000000e-01,1.6103495437922714e-05,4.6258528486702515e-04,3.8939164910830861e-04,1.9337364421589723e-01
1100,2.20000000e-01,1.5572108236701210e-05,4.3249183072244278e-04,3.5719654680671411e-04,2.3132372319521952e-01
1200,2.40000000e-01,1.5016613230437184e-05,5.3003802631105320e-04,4.7688535808420072e-04,3.0528045742508952e-01
1300,2.60000000e-01,1.4622868498046816e-05,6.0140387086007560e-04,5.7988419989307152e-04,2.8814710064205373e-01
1400,2.80000000e-01,1.4758002723672318e-05,5.4632972042398730e-04,5.2208430709302356e-04,2.8744039635276347e-01
1500,3.00000000e-01,1.3927188400862001e-05,5.7260845400624824e-04,5.4190663487056019e-04,2.5192796284944979e-01
1600,3.20000000e-01,1.3596595869819856e-05,4.3170726413537902e-04,4.2101924109773083e-04,1.8288666741404924e-01
1700,3.40000000e-01,1.3546945034103261e-05,3.8354141481263855e-04,3.3982315380222991e-04,1.6615478730911390e-01
1800,3.60000000e-01,1.3054067396319449e-05,4.1112408018897418e-04,3.3116414294252295e-04,2.0732446133817969e-01
1900,3.80000000e-01,1.2942935924039443e-05,3.4273736001853698e-04,3.2114395740114130e-04,1.8482401869354514e-01
2000,4.00000000e-01,1.2758185118250063e-05,3.5673940078184436e-04,3.4441107279773402e-04,1.9732618756986306e-01
