step,t,Q_gap,Q_leak_up,Q_leak_dn,max_u
100,2.00000000e-02,7.5751580367053474e-05,2.1246097740602295e-03,2.1246102013982374e-03,9.8477402871227276e-02
200,4.00000000e-02,1.4544115169369583e-04,6.6889480152260063e-03,6.6889497900500337e-03,3.2395273195863900e-01
300,6.00000000e-02,1.7477710371524490e-04,1.1709981372706610e-02,1.1709991480567925e-02,5.8091289355454978e-01
400,8.00000000e-02,1.7006775911392977e-04,1.4228232800373650e-02,1.4228242660611073e-02,7.1665751306000791e-01
500,1.00000000e-01,1.7151368540091732e-04,1.5325389775269529e-02,1.5325397737007959e-02,7.7654879421855461e-01
600,1.20000000e-01,1.7473840328448520e-04,1.5786410327522982e-02,1.5786417462485641e-02,8.0230456506836534e-01
700,1.40000000e-01,1.7792776995411176e-04,1.5965436091825113e-02,1.5965441439904665e-02,8.1284643092881259e-01
800,1.60000000e-01,1.8054950655779003e-04,1.6022137809320623e-02,1.6022141519925429e-02,8.1670995259011470e-01
900,1.80000000e-01,1.8242435291516854e-04,1.6027423059153903e-02,1.6027424402749697e-02,8.1779513463707121e-01
1000,2.00000000e-01,1.8363789435585091e-04,1.6012697841497954e-02,1.6012696777874705e-02,8.1770960662145853e-01
1100,2.20000000e-01,1.8427776699176263e-04,1.5991422992000535e-02,1.5991419480071080e-02,8.1719720150312547e-01
1200,2.40000000e-01,1.8446087793896264e-04,1.5969135645718013e-02,1.5969130201731789e-02,8.1657218633969164e-01
1300,2.60000000e-01,1.8429281943207730e-04,1.5947920796662376e-02,1.5947914015302194e-02,8.1595800068783220e-01
1400,2.80000000e-01,1.8386055399393915e-04,1.5928400035400501e-02,1.5928392398697411e-02,8.1539728750281004e-01
1500,3.00000000e-01,1.8323177965924158e-04,1.5910634048593820e-02,1.5910625865689833e-02,8.1489533424418481e-01
1600,3.20000000e-01,1.8245949776989084e-04,1.5894438749864331e-02,1.5894430282280235e-02,8.1445088538549226e-01
1700,3.40000000e-01,1.8157761086221469e-04,1.5879519891550915e-02,1.5879511274275122e-02,8.1405042882448331e-01
1800,3.60000000e-01,1.8063299070695895e-04,1.5865730818734554e-02,1.5865722320028332e-02,8.1369736707830875e-01
1900,3.80000000e-01,1.7961758792514804e-04,1.5852789604859554e-02,1.5852781290792480e-02,8.1338545344709290e-01
2000,4.00000000e-01,1.7859617464880366e-04,1.5840625473906349e-02,1.5840617458924532e-02,8.1309463958578931e-01
