step,t,Q_gap,Q_leak_up,Q_leak_dn,max_u
100,2.00000000e-02,3.1817342210966464e-07,2.1241022658239710e-03,2.1241022659683200e-03,9.8464694022069893e-02
200,4.00000000e-02,4.3469383351767765e-07,6.6915199070924211e-03,6.6915199079682908e-03,3.2399607989833407e-01
300,6.00000000e-02,2.8729468477269487e-07,1.1716616661318747e-02,1.1716616664523590e-02,5.8107199718123925e-01
400,8.00000000e-02,2.6958967808470199e-07,1.4235077958655563e-02,1.4235077963832912e-02,7.1691787159009046e-01
500,1.00000000e-01,2.9386890947623213e-07,1.5326436363810631e-02,1.5326436370332628e-02,7.7669496305177421e-01
600,1.20000000e-01,3.4878322075754419e-07,1.5781447458839481e-02,1.5781447466204242e-02,8.0224394229892637e-01
700,1.40000000e-01,4.1756035726570991e-07,1.5957195574476692e-02,1.5957195582477688e-02,8.1262004919955000e-01
800,1.60000000e-01,4.8857103013387125e-07,1.6012668239362364e-02,1.6012668247875343e-02,8.1640229759239191e-01
900,1.80000000e-01,5.5365241890795354e-07,1.6017899363661919e-02,1.6017899372602194e-02,8.1748054384211255e-01
1000,2.00000000e-01,6.1127894356877842e-07,1.6003307918596704e-02,1.6003307927891522e-02,8.1741596581832798e-01
1100,2.20000000e-01,6.6036230589301637e-07,1.5981987348002338e-02,1.5981987357917737e-02,8.1692668554668968e-01
1200,2.40000000e-01,7.0108022601572390e-07,1.5959120410524715e-02,1.5959120421241719e-02,8.1630129313496125e-01
1300,2.60000000e-01,7.3388445607041101e-07,1.5936752812156417e-02,1.5936752823905696e-02,8.1566536901390208e-01
1400,2.80000000e-01,7.5949247590718670e-07,1.5915680981122029e-02,1.5915680993952980e-02,8.1506391454921878e-01
1500,3.00000000e-01,7.7868252921938947e-07,1.5896149662624686e-02,1.5896149676626812e-02,8.1450880616146981e-01
1600,3.20000000e-01,7.9219971523502818e-07,1.5878135484619998e-02,1.5878135499941656e-02,8.1400429537334562e-01
1700,3.40000000e-01,8.0072906084756422e-07,1.5861523278298272e-02,1.5861523295078183e-02,8.1354818132255813e-01
1800,3.60000000e-01,8.0489023263733220e-07,1.5846179056152848e-02,1.5846179074514775e-02,8.1313615423696861e-01
1900,3.80000000e-01,8.0523713252187389e-07,1.5831977547800923e-02,1.5831977567893205e-02,8.1276192592105190e-01
2000,4.00000000e-01,8.0226101478597030e-07,1.5818798666376355e-02,1.5818798688358657e-02,8.1242232073078147e-01
