step,t,max_u,plate_disp
1,6.25000000e-03,0.0000000000000000e+00,0.0000000000000000e+00
2,1.25000000e-02,1.1619493187197173e-02,3.7479771642662634e-05
3,1.87500000e-02,2.0833282462891838e-02,9.5394902554982115e-05
4,2.50000000e-02,3.1249923693908836e-02,1.8023884722557370e-04
5,3.12500000e-02,4.1666564925571851e-02,2.9072345955126179e-04
6,3.75000000e-02,5.2083206156666485e-02,4.2571609263834949e-04
7,4.37500000e-02,6.2499847388139379e-02,5.8474554614908766e-04
8,5.00000000e-02,7.2916488619284792e-02,7.6706968104867568e-04
9,5.62500000e-02,8.3333129850692619e-02,9.7270475445597178e-04
10,6.25000000e-02,9.3749771081869382e-02,1.2011144931470250e-03
11,6.87500000e-02,1.0416641231319512e-01,1.4522208070294376e-03
12,7.50000000e-02,1.1458305354437794e-01,1.7264679438111820e-03
13,8.12500000e-02,1.2499969477566644e-01,2.0370097554675420e-03
14,8.75000000e-02,1.3541633600687136e-01,2.3725632624678442e-03
15,9.37500000e-02,1.4583297723811017e-01,2.7331784772865516e-03
16,1.00000000e-01,1.5624961846932317e-01,3.1186693950975312e-03
17,1.06250000e-01,1.6666625970057039e-01,3.5290116403009098e-03
18,1.12500000e-01,1.6666625970022966e-01,3.9404089507400703e-03
19,1.18750000e-01,1.6666625969969900e-01,4.3496956308296990e-03
20,1.25000000e-01,1.6666625969986573e-01,4.7575363236922871e-03
21,1.31250000e-01,1.6666625969952048e-01,5.1635031808086691e-03
22,1.37500000e-01,1.6666625969965457e-01,5.5680045736334468e-03
23,1.43750000e-01,1.6666625969939936e-01,5.9710138174549733e-03
24,1.50000000e-01,1.6666625969948509e-01,6.3727843467529712e-03
25,1.56250000e-01,1.6666625969929305e-01,6.7732079419729812e-03
26,1.62500000e-01,1.6666625969935073e-01,7.1726459704395213e-03
27,1.68750000e-01,1.6666625969920273e-01,7.5710677577349381e-03
28,1.75000000e-01,1.6666625969924206e-01,7.9687402377771315e-03
29,1.81250000e-01,1.6666625969912593e-01,8.3655990192951415e-03
30,1.87500000e-01,1.6666625969915286e-01,8.7616036292035987e-03
31,1.93750000e-01,1.6666625969905996e-01,9.1570427501704126e-03
32,2.00000000e-01,1.6666625969907822e-01,9.5517606806248302e-03
33,2.06250000e-01,1.6666625969900409e-01,9.9461125733042582e-03
34,2.12500000e-01,1.6666625969901577e-01,1.0339797908822338e-02
